Date;Calories;Carbs;Fat;Protein;Cholest;Sodium;Sugars;Fiber;Exercise;FB Cals;FB BMR?
16-Sep-15;1483;127;65;83;421;2810;9;16;513;2542;2029
17-Sep-15;1882;203;70;96;421;2912;30;26;492;2521;2029
18-Sep-15;1636;192;55;91;421;3190;32;27;589;2618;2029
19-Sep-15;1939;200;80;88;412;3309;13;20;554;2583;2029
20-Sep-15;2004;190;80;119;605;4386;22;21;413;2442;2029
21-Sep-15;1758;205;64;89;548;3295;54;26;375;2404;2029
22-Sep-15;1911;175;90;94;1176;2783;48;20;525;2699;2174
23-Sep-15;1819;208;58;107;172;4052;37;31;475;2504;2029
24-Sep-15;1032;103;36;67;526;1832;10;19;403;2432;2029
25-Sep-15;1520;135;68;87;589;3611;10;16;338;2499;2161
26-Sep-15;1717;137;83;100;1009;3979;11;16;416;2445;2029
27-Sep-15;1771;153;75;119;709;3038;19;20;263;2292;2029
28-Sep-15;1756;196;63;94;544;3258;12;25;615;2644;2029
29-Sep-15;1628;138;71;98;589;3916;13;20;513;2542;2029
30-Sep-15;1662;175;67;90;179;4234;22;26;558;2587;2029
1-Oct-15;1517;176;43;66;514;1999;35;25;614;2643;2029
2-Oct-15;2467;103;55;77;487;1101;22;2;450;2479;2029
3-Oct-15;2271;207;40;98;196;2891;12;4;1062;3091;2029
4-Oct-15;2460;148;29;72;94;1966;14;6;1074;3075;2001
5-Oct-15;2715;213;22;48;23;917;4;19;1171;3200;2029
6-Oct-15;2648;141;30;40;270;1877;8;5;759;2788;2029
7-Oct-15;2878;248;43;74;8;2127;16;6;1277;3290;2013
8-Oct-15;3568;235;59;122;363;3122;19;18;1657;3670;2013
9-Oct-15;2521;143;63;62;34;1361;8;6;1060;3073;2013
10-Oct-15;3439;223;58;122;370;2495;22;11;916;2929;2013
11-Oct-15;3315;289;50;86;357;2221;19;18;1136;3062;1926
12-Oct-15;2730;234;31;76;236;2179;11;6;1026;3039;2013
13-Oct-15;3139;301;32;33;8;1094;20;23;1239;3252;2013
14-Oct-15;2761;193;53;106;220;1543;18;18;1035;3048;2013
15-Oct-15;2541;271;20;81;26;968;9;24;1229;3242;2013
16-Oct-15;3135;300;53;68;74;2047;19;8;1128;3141;2013
17-Oct-15;3273;276;45;95;148;1949;18;20;792;2805;2013
18-Oct-15;2609;168;23;20;8;764;6;3;1519;3532;2013
19-Oct-15;2461;231;30;47;33;2242;20;11;947;2960;2013
20-Oct-15;3120;293;46;73;57;2643;57;31;922;2919;1997
21-Oct-15;2675;188;17;26;155;1334;11;8;969;2982;2013
22-Oct-15;2911;283;71;48;0;1441;14;7;1019;3032;2013
23-Oct-15;2642;174;19;41;19;973;6;3;858;2871;2013
24-Oct-15;3311;244;56;79;114;3109;9;9;852;2865;2013
