Date;Calories;Carbs;Fat;Protein;Cholest;Sodium;Sugars;Fiber;Exercise;FB Cals;FB BMR?
19-Nov-14;2652;207;57;77;324;2018;7;5;847;2949;2102
20-Nov-14;2378;260;40;75;64;3122;14;8;732;2834;2102
21-Nov-14;2384;222;32;85;27;1354;23;18;1022;3120;2098
22-Nov-14;2807;166;42;120;315;1571;8;2;1094;3189;2095
23-Nov-14;2088;113;30;42;97;3100;8;4;718;2803;2085
24-Nov-14;2614;132;26;51;88;1758;10;7;799;2885;2086
25-Nov-14;3011;143;57;85;187;1263;34;10;725;2805;2080
26-Nov-14;1222;100;42;60;71;1168;8;4;894;2974;2080
27-Nov-14;1765;185;75;70;19;2573;44;12;651;2731;2080
28-Nov-14;1513;152;59;72;0;1338;14;7;479;2559;2080
29-Nov-14;1632;204;43;61;0;1283;23;7;662;2695;2033
30-Nov-14;1358;161;31;38;0;2470;23;0;548;2628;2080
1-Dec-14;1854;185;68;63;0;2433;14;7;414;2494;2080
2-Dec-14;2292;137;61;97;65;2873;10;17;374;2455;2081
3-Dec-14;2099;83;62;56;0;1550;14;14;458;2488;2030
4-Dec-14;2197;123;68;88;65;2209;12;14;336;2447;2111
5-Dec-14;2326;120;79;77;50;2150;26;19;401;2481;2080
6-Dec-14;2380;181;70;68;0;2145;53;22;956;3037;2081
7-Dec-14;2637;266;56;69;0;2736;55;34;702;2776;2074
8-Dec-14;2828;211;90;79;35;2304;49;21;359;2433;2074
9-Dec-14;2902;225;76;97;65;2682;13;15;222;2295;2073
10-Dec-14;2803;201;98;81;0;2489;16;14;204;2277;2073
11-Dec-14;2392;166;87;58;0;1514;16;12;706;2776;2070
12-Dec-14;2289;187;52;50;74;1797;11;2;349;2419;2070
13-Dec-14;3027;127;48;122;307;2426;20;9;666;2728;2062
14-Dec-14;2693;207;37;59;59;2475;16;10;244;2313;2069
15-Dec-14;2925;265;58;62;16;1958;23;11;1219;3293;2074
16-Dec-14;3543;288;35;80;117;3444;21;14;743;2817;2074
17-Dec-14;2563;92;35;59;97;1663;10;7;833;2907;2074
18-Dec-14;3113;284;26;62;57;2419;40;27;731;2805;2074
19-Dec-14;2449;207;39;70;137;2237;13;14;931;3007;2076
20-Dec-14;3447;219;35;75;194;2747;6;7;719;2794;2075
21-Dec-14;3202;175;54;91;212;2299;9;12;873;2949;2076
22-Dec-14;4110;269;55;82;161;2558;31;14;936;3013;2077
23-Dec-14;3107;159;29;60;141;555;12;15;567;2642;2075
24-Dec-14;4185;291;53;85;206;1211;20;7;911;2988;2077
25-Dec-14;3706;247;49;79;280;2039;10;8;555;2628;2073
26-Dec-14;2861;174;35;49;156;2459;15;13;495;2570;2075
27-Dec-14;3297;261;49;57;69;1581;16;10;543;2616;2073
28-Dec-14;3084;247;54;70;127;3143;8;6;703;2765;2062
29-Dec-14;2654;214;18;78;96;1795;12;7;671;2729;2058
30-Dec-14;3472;319;36;54;44;2775;38;7;871;2927;2056
31-Dec-14;3367;240;71;99;16;2142;22;9;1037;3093;2056
1-Jan-15;2806;205;22;42;9;1669;14;11;509;2565;2056
2-Jan-15;3971;497;50;83;66;2363;18;40;721;2776;2055
3-Jan-15;3136;218;46;86;471;1959;18;4;717;2947;2230
4-Jan-15;2925;194;55;75;199;2393;8;2;903;2961;2058
5-Jan-15;2733;143;42;60;123;1330;9;10;947;3001;2054
6-Jan-15;2471;76;46;50;253;2734;6;5;685;2740;2055
7-Jan-15;3428;215;56;93;244;1740;21;6;646;2701;2055
8-Jan-15;2882;213;52;85;232;2363;10;5;632;2687;2055
9-Jan-15;2738;182;50;66;31;1974;9;7;639;2694;2055
10-Jan-15;3421;122;54;78;139;1439;12;17;671;2719;2048
11-Jan-15;2593;95;31;51;215;2673;6;20;476;2524;2048
12-Jan-15;1303;135;32;48;114;1370;8;7;801;2854;2053
13-Jan-15;2283;198;72;72;86;2892;43;14;580;2633;2053
14-Jan-15;1974;175;80;71;80;2229;13;10;405;2458;2053
15-Jan-15;2359;155;72;93;83;2548;27;10;348;2400;2052
16-Jan-15;2850;167;75;107;143;3979;16;10;227;2280;2053
